stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Spermatocyte,T_cell
72hpf,3.21,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0
21Day,5.35,0,0,0,0,0,0,0,1.34,0,0,1.34,0,0,1.34,0,0,0
3Month,0.96,0.32,0,0,0.32,2.56,1.28,0,0,0,0,0.32,0,0,1.6,0,0.32,0.64
22Month,0,0,0.55,0.55,0,11.48,9.29,0.55,0.55,1.64,1.09,0,0,0.55,2.19,0.55,0,0
