stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0
72hpf,0,0,0,10.7,0,0,0,0,0,0,0,0,5.35,0,2.14,0,0,0,0,0,1.07,0,0,0,0,0,0,0
21Day,0,0,2.68,10.71,0,0,0,0,0,0,0,0,2.68,0,1.34,0,0,0,0,1.34,1.34,0,0,1.34,0,0,0,0
3Month,0.32,1.28,11.52,21.12,2.24,23.36,0,10.88,1.6,0.32,2.24,3.84,2.24,1.28,0.96,0.32,0,0.64,0.32,0,0.32,0,0.32,0.64,2.56,0.32,2.24,0.32
22Month,1.09,1.09,2.19,5.47,1.64,36.63,2.19,44.28,0.55,1.09,9.84,0.55,1.64,1.09,4.37,0,1.09,0,0.55,0,0.55,0.55,0,0,1.09,0,0,0
