stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,49.04,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,2.14,0,2.14,0,0,3.21,5.35,0,1.07,0,0,0,0,0
21Day,2.68,1.34,0,12.05,1.34,0,0,0,1.34,0,0,0,0,4.02,0,0,1.34,4.02,4.02,0,0,5.35,1.34,0,1.34,0,0,0,0,9.37
3Month,0,0.64,0.32,18.56,0,0.96,0,0.32,7.04,0,0,20.48,3.52,0.32,3.2,1.28,4.16,7.68,0.64,0,0.32,0.32,0,0,0,1.6,1.92,0.32,0.96,17.28
22Month,0,0.55,0,2.73,0,0,0.55,0.55,7.65,2.19,0,25.15,0.55,0,1.64,0,1.09,2.19,1.64,1.09,0.55,0,0,1.64,0,0.55,0.55,0,0,6.56
