stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,49.04,0
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,2.14,0,0,0
21Day,0,1.34,0,0,0,0,0,0,0,0,1.34,2.68,0,1.34,0
3Month,1.92,0,0.32,0.32,0.32,0,0,0.32,0.32,0.64,1.28,0,0,0.32,0.32
22Month,0,0,0,0,0,0.55,0.55,0,0,0,0,0,0,0,0
