stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,16.35,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,24.52,65.38,0,0,0,0,0,0,0,0,8.17,0,0,0
72hpf,5.35,3.21,0,3.21,0,0,0,0,0,0,0,0,0,0,7.49,0,5.35,0,0,0,0,102.7,8.56,0,1.07,6.42,1.07,0,5.35,0,0,0,0,0,0
21Day,5.35,0,6.69,0,2.68,0,0,0,0,0,0,1.34,0,0,4.02,0,20.08,0,1.34,6.69,0,60.23,14.72,0,2.68,4.02,1.34,0,1.34,1.34,1.34,0,0,0,0
3Month,0.32,0.96,11.84,0,0,0,0.32,1.28,0,8.64,0.96,0.32,0.96,1.6,4.8,0.64,3.2,0.32,0,0.64,0.64,2.24,0,0.64,0.64,0,0.96,7.04,0.32,0,0,0,1.6,1.6,0.96
22Month,0,2.73,2.73,0,0,0.55,0,1.64,0.55,10.39,0.55,0,3.28,0,1.64,1.09,3.83,0,0.55,0.55,0,0,0.55,0,1.64,0,0.55,1.09,1.09,0,0,0,0.55,0,0.55
