stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Hatching_gland,Hepatocyte,Immune_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell
24hpf,0,0,0,0,4.09,0,0,0,0,0,4.09,0,0,0
72hpf,0,22.47,1.07,0,0,0,0,1.07,0,1.07,1.07,8.56,1.07,0
21Day,1.34,32.12,0,0,0,0,0,1.34,4.02,1.34,0,41.49,0,0
3Month,0.64,0,0,0,0,0.96,0.32,0,0,0.32,0,20.48,0,0.64
22Month,0.55,0,0,0.55,0,2.19,0,0,1.64,0,0,38.81,0,0
