stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,T_cell
21Day,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0
3Month,0.96,2.24,0.64,2.88,1.28,5.12,0.64,0.64,0.64,1.92,0.64,0.32,0.96,0.32
22Month,0,1.09,0,0,2.19,8.2,0,0,0,0,0,0,0,0.55
