stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Hatching_gland,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,T_cell
24hpf,8.17,0,0,4.09,0,0,0,0,0,36.78,0,0,0
72hpf,2.14,0,0,0,0,0,0,2.14,4.28,8.56,1.07,2.14,0
21Day,0,1.34,1.34,0,0,1.34,0,2.68,0,6.69,1.34,0,0
3Month,0,0,0.96,0,0,0,0.32,0,0,0,0,0,0
22Month,0,0,0,0,2.73,0.55,0,0,0,0,0,0,0.55
