stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,290.13,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,294.22,0,12.26,1299.48,0,0,4.09,0,0,0,0,0,0,0
72hpf,90.93,3.21,0,0,0,4.28,0,0,0,0,0,0,0,5.35,5.35,0,181.86,0,21.4,21.4,0,0,8.56,0,0,0,0,1.07,0,0
21Day,207.47,0,0,6.69,1.34,9.37,0,0,1.34,0,1.34,2.68,5.35,0,2.68,0,186.06,0,8.03,12.05,1.34,0,5.35,1.34,0,1.34,4.02,5.35,0,1.34
3Month,1.92,0,0.32,0,0,0,0,0.32,0.64,1.28,0,0.64,0.32,0,0,0,1.28,0.32,0,0,0,0,0,0,2.88,0.32,0,0,0.96,0.32
22Month,0,0,0,0,0,0,0.55,0.55,0.55,2.73,0,0,0.55,0,0,0.55,0,0,0,0,0,0.55,0,0,2.73,3.83,0,0,0,0
