stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,16.35,0,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,3.21,0,0,2.14,0,0,0,0,1.07,0,0,0,0,0,1.07,6.42,0,13.91,0,0,1.07,497.45,25.67,1.07,25.67,0,7.49,0,0,5.35,5.35,5.35,3.21,0,0,0
21Day,0,0,5.35,4.02,0,1.34,0,0,0,0,0,0,1.34,0,0,5.35,0,22.76,0,0,2.68,169.99,6.69,0,29.45,0,12.05,6.69,0,0,26.77,64.25,0,0,0,1.34
3Month,0,0,8,0,0.64,0,0,0,0.96,0,7.68,1.6,0.32,2.24,0.32,2.56,1.92,6.4,0.96,0,2.24,2.24,1.28,9.6,30.08,0,0,0.32,13.44,0.32,0,0,0.64,0.32,7.04,0.32
22Month,1.09,1.09,22.41,0,0.55,0,0.55,1.09,2.19,1.09,31.71,0.55,0.55,1.64,0,0.55,4.37,13.67,0,0.55,0.55,8.2,0,2.73,9.84,1.09,1.64,0.55,14.76,0.55,9.84,0,0,0,0,1.09
