stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,4.09,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,2.14,0,0,0,0,0
21Day,1.34,0,1.34,0,0,0,0,0,1.34,2.68,1.34,4.02,54.88,1.34,0,1.34,0,0,1.34,0,0,1.34
3Month,0,0.32,4.48,0.64,0.32,0,2.88,1.28,0,0.64,10.88,1.28,107.5,0.32,0.32,0,0.32,0.64,0,0.32,0.64,0
22Month,0,0,0.55,0.55,0,0.55,5.47,0.55,0,0,2.19,0,3.83,1.09,0,0,0,0,0,0.55,0,0.55
