stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,0,4.09,12.26,0,0,0,4.09,0,0,0,0,0
72hpf,0,0,0,3.21,0,0,0,0,0,0,7.49,0,10.7,0,0,0,1.07,119.82,11.77,0,10.7,0,8.56,0,0,0,0,0
21Day,4.02,0,0,6.69,1.34,0,0,0,0,1.34,1.34,0,5.35,0,0,4.02,0,44.17,4.02,0,0,0,4.02,1.34,1.34,0,0,0
3Month,0,0.64,0.32,2.88,0,0,3.2,3.52,0.64,2.24,1.6,0.96,7.04,24.96,0.32,0.32,0,0.64,0,5.12,0.32,0,0.32,0.32,25.92,0,0.32,11.52
22Month,0,0,0,1.09,0,0.55,1.09,10.39,0.55,0,0,1.09,6.56,2.73,0,0.55,0,1.09,0,10.39,0,1.09,0,0,13.12,0.55,0,0
