stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,8.17,24.52,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,4.09,0,0,0,0,0
72hpf,0,0,1.07,41.72,0,0,0,0,0,0,0,0,12.84,0,1.07,0,0,0,0,1.07,0,0,0,0,0
21Day,2.68,0,6.69,44.17,0,0,0,0,0,0,9.37,0,9.37,4.02,1.34,0,0,0,2.68,4.02,0,2.68,0,0,5.35
3Month,0,0,7.68,9.92,0,0,0,0.32,0.96,0.64,0,0.32,3.52,3.2,1.6,0.32,0,0.32,0.64,0,1.28,0,0.96,0,1.6
22Month,0,0.55,3.28,2.19,1.09,0.55,0.55,1.09,3.28,1.09,4.92,0,0.55,20.23,1.64,0,1.09,0,0,0,1.64,0,1.64,0.55,4.92
