stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,8.17,0,0,0,0,8.17,53.12,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,2.14,5.35,0,0,0,0,0,0,1.07,0,0,0,0,0
21Day,1.34,0,0,4.02,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,1.34,0,0,0,0,0,0,0,0
3Month,1.6,1.28,1.28,34.87,0.64,2.24,0.64,16.32,1.28,0,0,495.28,4.16,2.24,12.16,4.8,11.2,5.12,8.32,0.96,0.32,1.92,1.28,0.64,0.32,1.28,0.96,0,0,11.52,4.8,0,0,0.64,2.24,2.56,6.72
22Month,0.55,1.09,2.73,8.75,0,1.09,1.09,9.84,6.01,1.64,0,501.28,6.56,7.11,5.47,1.09,3.83,7.11,8.2,0,6.56,1.64,0,0,0,0,1.64,0.55,0.55,0.55,0.55,1.09,0.55,0,0,0,3.83
