stage,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Nephron_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,8.17,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,1.07,0
21Day,1.34,1.34,1.34,0,2.68,0,0,0,0,0,1.34,2.68,0,0,1.34,0,0
3Month,0,0.64,0,0.32,21.12,0,2.56,0.64,1.6,0,0.32,0,0,0.32,0,0,0.32
22Month,0,0,0,0,0.55,0.55,0,0,0,0.55,0,0,0,0,0,0,0
