stage,Endothelial_cell,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0
21Day,0,0,0,0,0,0,0,0,1.34,0,0,0,1.34
3Month,0,0.64,0.32,0,0.96,0,0.32,0,0,0,0,0,0.32
22Month,0.55,0,1.64,1.09,11.48,2.19,0,0.55,1.64,0.55,0.55,0,0
