stage,Cardiomyocyte,Epithelial_cell,Granulosa_cell,Hepatocyte,Immune_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,1.07,1.07,0,0,0,1.07,0,0
21Day,1.34,0,0,0,0,0,0,0,1.34,0,0,0,0,0
3Month,0,0,0,1.6,0,0,0,0,0,0.32,0.64,0,0,16.96
22Month,0,0,24.05,2.19,0.55,0.55,0,0.55,0,0,0,0,0.55,0
