stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,0,20.43,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,1.07,0,3.21,1.07,0,0,4.28,0,1.07,0,0,0
21Day,1.34,1.34,0,5.35,1.34,0,0,1.34,0,0,0,0,0,9.37,0,0,0,6.69,1.34,1.34,0,0,0
3Month,0,0,0.32,2.56,0,0.32,0.64,0,2.88,0.32,0.96,0,0.96,37.11,0.96,0.32,0.32,0,0,0,4.16,0.32,1.6
22Month,0,0,0,0.55,0,0,0,0.55,2.73,0,1.64,0,0,6.56,0,0,0,0,0,0,0.55,0,0.55
