stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,8.17,0,28.6,0,0,0,8.17,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28,0,0,0,3.21,3.21,0,0,1.07,0,0,0,0
21Day,0,1.34,0,0,0,2.68,0,0,1.34,1.34,0,0,1.34,2.68,0,0,0,1.34,0,0,1.34,0,0,0,0,0
3Month,0,4.16,0.32,0,0.32,10.88,0,0.96,23.04,0,0.32,0.32,0.32,11.84,0.32,0.32,0.64,0,0,0,1.6,0,3.84,0.32,0.32,0.96
22Month,0.55,2.19,0,0.55,0,29.52,1.64,3.28,1.09,0,0.55,0,0,13.12,2.73,0,0,0,0,0.55,0.55,0,0,0,0,0.55
