stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,4.09,0,0,0,0,0,0,0,4.09,0,0,4.09,0,0,8.17,232.93,0,0,0,0,0,0,0
72hpf,2.14,0,8.56,5.35,4.28,0,0,0,0,0,0,0,8.56,0,17.12,0,0,156.19,49.21,5.35,0,2.14,1.07,0,0,0
21Day,0,0,4.02,2.68,1.34,0,0,1.34,0,2.68,0,0,1.34,0,28.11,0,0,33.46,20.08,6.69,1.34,5.35,0,0,0,0
3Month,0,0.64,2.24,0,0,0.32,0.64,0.96,0.32,0,0.32,0.32,0,0.32,5.44,0.64,0,0,0.32,0.32,1.28,0.32,0.64,0.64,0.64,0.96
22Month,0,0,2.19,0,0,0,0.55,8.75,0,0,2.73,0,0.55,0,4.92,0,0.55,0.55,0,0,0.55,0,0.55,0,0,0.55
