stage,Epithelial_cell,Goblet_cell,Ionocyte,Keratinocyte,Macrophage,Muscle_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,0,0,0,4.09,0,4.09,0
72hpf,3.21,0,0,4.28,0,0,0,0
21Day,6.69,0,1.34,1.34,1.34,1.34,0,1.34
3Month,0.64,0.32,0.32,0,0,0,0,0
