stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,12.26,0,0,0,20.43,0,0,0,0,0,0,0,0,0
72hpf,2.14,1.07,1.07,0,0,0,0,0,0,0,0,0,0,1.07,0,1.07,5.35,0,0,7.49,6.42,0,0,4.28,0,1.07,1.07,1.07,0,0
21Day,1.34,0,4.02,1.34,0,0,0,1.34,0,0,0,4.02,0,1.34,1.34,4.02,16.06,0,0,8.03,5.35,1.34,0,5.35,0,0,0,0,0,0
3Month,0,0.32,1.6,0,0.32,0.32,0.96,32.31,0,5.12,2.56,0.32,0.96,0,0.64,0.96,2.56,0.32,0.32,0,0,0.32,0.32,0,6.72,0,0,0,2.56,0.96
22Month,0,0,4.37,0,1.09,1.09,1.09,72.16,1.09,14.76,3.83,0.55,0.55,0,0.55,4.37,10.93,0.55,1.09,0,0,1.09,0,0.55,1.09,0,0,0,0,0.55
