stage,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Retinal_cone_cell
24hpf,0,0,0,0,4.09,0,0,0,4.09,49.04,0,0
72hpf,0,2.14,0,0,1.07,2.14,1.07,1.07,5.35,6.42,1.07,0
21Day,1.34,0,2.68,1.34,0,1.34,0,0,6.69,2.68,0,1.34
