stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,0,1.07,0,1.07,0,0,1.07,0,0,0
21Day,0,0,0,0,0,0,0,4.02,0,0,0,0
3Month,0.32,0,0.32,0,0.64,0,0,0,0,0.32,3.2,0.64
22Month,0,0.55,0,0,0,0,0.55,0,0,0,0,0
