stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,1.34,0,1.34,17.4,53.54,0,0,465.81,0,1.34,437.7,0,1.34,1.34,2.68,1.34,4.02,0,0,0,6.69,9.37,0,0,0,0,0,0,1.34,1.34,0,0,0,1.34
3Month,0.64,1.92,3.84,44.79,0,0.32,0.64,1348.91,14.4,28.16,387.46,0.64,27.52,3.52,8.64,3.84,8.32,3.52,2.24,3.52,0.32,0,1.6,0.96,4.16,1.6,6.08,1.92,0,0,0.32,2.56,11.84,3.52
22Month,0,1.64,1.09,16.95,0,0,0,264.58,5.47,34.44,243.81,0,16.95,0,1.09,3.83,2.19,0,2.19,0,0,0,0.55,0,0.55,0,0.55,1.09,0,0,0,0,0,1.64
