stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,8.17,8.17,24.52,4.09,0,0,0,0,0
72hpf,1.07,0,2.14,0,0,0,0,0,0,0,2.14,2.14,4.28,8.56,6.42,1.07,0,2.14,0,0,0
21Day,0,4.02,1.34,2.68,0,0,0,1.34,1.34,0,0,1.34,5.35,4.02,1.34,2.68,0,0,1.34,0,1.34
3Month,0,1.28,0,0,0.64,0.32,1.28,0,0,0.32,0,0.64,0.64,0.32,0,0,0.32,0,0,0.32,0
