stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,23.54,0,0,0,0,0,0,0,0
21Day,1.34,0,1.34,0,1.34,1.34,0,0,0,0,0,0,0,1.34,0,13.39,0,0,5.35,0,1.34,0,0,1.34
3Month,0,0,2.56,0,0,0,0,0.64,3.2,0.32,0.64,0.64,0,0.32,0.32,0.32,0.32,0.32,0,0,0,0.32,0.64,0.32
22Month,0,0.55,2.73,0.55,0,0,0.55,1.09,15.85,0,1.09,0.55,0.55,0.55,0,0,0,0,0,0.55,0,0,0,0
