stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21,6.42,0,0,0,1.07,0,0,0,0,0,0,0,0,0
21Day,0,0,0,2.68,0,0,1.34,0,0,0,1.34,4.02,5.35,0,0,1.34,1.34,0,0,0,1.34,2.68,2.68,0,0,0,0,1.34,0,0,1.34,0,1.34,0,0,10.71
3Month,0,0.96,0.64,8.32,0,0,0.32,1.92,11.2,0,37.43,414.97,0,4.16,0.96,0.64,3.84,2.24,0.32,0,39.03,0.96,0,0.32,0.32,0,0,1.92,0.96,10.88,0,0,0,2.56,39.67,11.84
22Month,1.09,1.09,2.19,20.23,0,1.09,0.55,5.47,9.29,7.65,958.29,85.82,3.83,2.73,2.19,1.09,8.75,3.83,0,13.12,27.88,0.55,0,0.55,0.55,1.64,0.55,0.55,0,1.09,1.64,1.09,0,1.09,0,20.23
