stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,20.43,0,0,4.09,0,0,0,0,8.17,723.29,12.26,0,0,4.09,57.21,4.09,0,0,0,0,0
72hpf,4.28,8.56,0,0,0,0,0,0,0,0,162.61,0,1.07,1.07,9.63,6.42,3.21,0,1.07,0,0,0
21Day,0,24.09,0,0,0,0,2.68,2.68,0,1.34,0,0,2.68,0,2.68,1.34,0,0,1.34,0,0,0
3Month,0,11.84,0.32,0,0,0,0.64,0,0.32,0,0.96,0.64,0,0,0,0,0,1.28,0,0.32,0.32,0.64
22Month,0,0,0,0.55,0,1.09,0,0,0.55,0,0,0,0,0,0,0,0,1.09,0,0,0,0
