stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,53.12,0,0,0,0,0,0,0,0,0,0,8.17,57.21,0,0,0,0,20.43,433.16,0,4.09,0,0,0,8.17,0,0,0
72hpf,4.28,11.77,0,12.84,0,0,0,0,0,0,0,0,0,7.49,0,60.98,0,0,4.28,0,18.19,71.68,0,29.95,0,0,4.28,1.07,0,0,0
21Day,2.68,0,0,24.09,0,0,0,0,0,1.34,0,6.69,0,1.34,4.02,32.12,0,0,20.08,0,9.37,13.39,1.34,4.02,5.35,2.68,2.68,0,0,0,5.35
3Month,0,0.64,0.64,11.84,0,0.32,0.32,0.96,0,8.32,2.56,0.96,9.28,3.52,17.6,4.16,0,0,0.32,0.64,0,0,0,0,1.28,67.51,0,0,1.6,19.2,24.96
22Month,0,0.55,3.28,19.68,0.55,0,4.37,2.19,1.64,50.84,0.55,1.64,57.95,1.64,22.41,8.75,0.55,0.55,2.73,0,0.55,1.64,1.64,0,1.64,60.13,1.64,0,1.09,0,22.96
