stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,4.09,0,4.09,0,0,0,0,0,0,0,0,69.47,0,0,0,0
72hpf,0,1.07,4.28,2.14,0,0,0,5.35,0,0,2.14,21.4,0,0,4.28,0
21Day,0,0,1.34,0,0,0,0,5.35,1.34,0,1.34,6.69,2.68,0,2.68,0
3Month,0,0,1.6,3.2,1.28,0.32,1.28,18.56,0.32,0.96,0,0.96,0,0.32,0.32,0.32
