stage,Granulocyte,Hepatocyte,Immune_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,1.07,1.07,0,0,0
21Day,0,0,0,0,0,1.34,0,0,0,0
3Month,0.32,0.32,0.64,0.32,0.32,0,0,8.96,16.96,0.32
