stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,4.09,20.43,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,1.07,0,0,0,0,0,0,0,0,0,3.21,4.28,0,0,0,0,0,63.12,3.21,0,0,0,0,1.07,0,0,0,0,0
21Day,6.69,0,0,12.05,1.34,0,0,0,0,0,0,2.68,0,1.34,1.34,0,4.02,0,0,0,18.74,2.68,0,0,1.34,0,0,1.34,1.34,0,0,0
3Month,0,0.32,0.96,10.56,0,0.32,2.88,0.96,0,7.04,0.64,0.32,75.51,0.32,1.28,1.28,0.64,0.64,0,0.64,0.64,0,0.96,0,0,2.56,0,0,0,0,0.96,0.64
22Month,0,1.09,10.39,21.32,0,1.09,19.13,26.24,8.2,43.73,3.28,2.19,556.49,1.09,2.73,121.9,10.39,0,3.28,1.09,0,0,6.56,1.09,0.55,6.01,1.64,0,0,1.09,0,1.09
