stage,Epithelial_cell,Hepatocyte,Immune_cell,Keratinocyte,Mesenchymal_cell,Nephron_cell,Primordial_germ_cell,Spermatocyte
21Day,0,0,0,1.34,0,0,0,0
3Month,0.32,1.92,0.96,0,0,0.64,1.28,2.88
22Month,0,1.09,0,0,0.55,0,0,0
