stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,12.26,0,0
72hpf,0,0,0,0,2.14,2.14,0,0
3Month,0.32,4.48,0.32,0.32,0,0,2.24,0.64
