stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
3Month,0.32,0.32,48.31,1.28,0.64,6.08,0.64,0,1.28,1.28,5.12,0.96,1.6,0.96,0.64,0.64,0.32,0.32,0,1.92,0.32,0.32,1.28,0.64
22Month,0,0.55,3.83,1.09,0,5.47,0.55,0.55,2.19,0.55,0.55,0.55,2.73,0.55,0.55,0,0,0.55,0.55,0,0,0,0,0
