stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,4.09,8.17,12.26,0,0,0,0,4.09,57.21,0,0,0,0,0,0,0,4.09,0,0
72hpf,1.07,0,0,3.21,2.14,0,0,0,0,0,0,0,0,0,10.7,0,5.35,0,0,0,0,16.05,9.63,0,0,0,4.28,0,0,2.14,0,0,0
21Day,1.34,0,0,5.35,5.35,1.34,0,0,0,0,0,1.34,1.34,0,5.35,1.34,5.35,0,0,0,0,5.35,1.34,0,0,0,1.34,0,0,1.34,0,0,0
3Month,0,1.28,0.32,9.92,0,0,4.16,4.16,0,47.99,1.92,1.28,10.88,0.32,1.92,4.8,2.56,0.96,0.32,2.24,2.56,0.96,0.32,1.6,0.96,0,0,1.92,14.4,0.32,0,9.92,3.52
22Month,0.55,1.64,1.64,4.92,0,0,1.64,4.37,6.01,79.26,1.64,0.55,8.2,0,1.64,3.83,2.19,0,1.09,0.55,0.55,1.09,0,0.55,0.55,2.19,0,0,4.37,1.64,0,0,0
