stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,8.17,4.09,0,0,0,0,0,8.17,0,0,0,0,0,0,12.26,0,0,0,0,20.43,73.56,0,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,5.35,6.42,0,10.7,3.21,2.14,0,0,0,0,0,0,0,0,1.07,14.98,1.07,29.95,0,0,0,0,547.73,27.81,0,3.21,40.65,0,0,0,12.84,1.07,4.28,5.35,0,0,0
21Day,1.34,5.35,0,16.06,2.68,6.69,0,0,0,0,0,0,0,0,1.34,12.05,0,61.57,0,0,13.39,0,211.49,10.71,0,5.35,30.79,5.35,0,1.34,8.03,5.35,10.71,2.68,0,0,0
3Month,0,0.64,0.32,10.56,0,0,0.32,0.64,0.32,0,0,10.88,0.64,2.56,0.32,5.76,0.96,2.88,0.64,0.32,1.28,0.32,2.56,0.32,0.64,0.64,0,0.64,0.32,3.84,0,0,0,0,0.96,2.56,0.96
22Month,0,1.09,0,1.64,0,0,0.55,0.55,1.09,2.19,0,19.68,0,2.19,0,0.55,0,3.83,1.09,1.09,0,0,0,0,0.55,1.09,0,0,0,0.55,0,0,0,0,0.55,0,0
