stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,69.47,32.69,0,171.63,0,0,0,0,0,0,0,12.26,4.09,0,0,0,40.86,53.12,155.28,286.05,0,0,0,0,138.94,2296.56,0,0,0,32.69,0,0,0,0,0,16.35,0,0,0
72hpf,44.93,9.63,0,85.58,22.47,48.14,0,5.35,0,2.14,0,0,1.07,0,1.07,0,56.7,133.72,18.19,189.35,0,13.91,10.7,1.07,1361.84,672.9,2.14,16.05,0,187.21,4.28,0,81.3,9.63,7.49,14.98,0,0,0
21Day,48.19,6.69,4.02,176.69,2.68,44.17,0,29.45,0,8.03,0,0,9.37,4.02,42.83,5.35,9.37,68.27,24.09,145.9,0,0,20.08,0,187.39,116.45,4.02,5.35,0,46.85,16.06,2.68,16.06,6.69,12.05,4.02,1.34,0,20.08
3Month,0,2.88,0.64,40.95,0.32,0,0.96,0.64,3.52,21.12,0.32,0,52.15,23.36,2.24,21.12,3.52,15.04,21.12,12.48,2.56,0,3.84,3.52,2.88,0.32,2.24,0.64,0,0.96,2.24,33.27,0,0,0,0.32,7.68,27.2,14.08
22Month,0,2.73,2.19,21.87,1.09,0,1.64,0,6.01,73.25,12.03,0,121.36,12.57,4.37,30.61,1.64,6.01,28.97,13.12,0,3.28,2.19,0,1.09,1.09,0.55,2.19,0.55,1.09,0.55,15.85,1.64,0,0,0,2.73,0.55,8.2
