stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,28.6,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,3.21,1.07,0,0,0,0,0,0,0,0,0,0,5.35,0,1.07,0,0,0,0,13.91,6.42,0,9.63,0,0,1.07,3.21,0,0,0,0
21Day,1.34,0,2.68,1.34,6.69,0,4.02,0,0,0,0,0,0,0,0,0,8.03,0,0,2.68,0,14.72,5.35,1.34,4.02,1.34,0,1.34,0,1.34,0,0,0
3Month,0.32,1.28,13.12,0,0,0.64,0,3.2,2.56,0.32,19.52,3.2,5.12,3.84,3.52,2.56,8,0.64,0,1.28,0.64,1.28,0.32,6.72,0.32,0.64,25.92,0,0,0.64,1.92,17.6,2.24
22Month,0.55,3.83,1.64,0,0,0,0,0,6.01,4.92,34.99,2.73,2.19,1.64,1.09,2.19,2.19,0,1.64,1.64,0,1.09,0,2.19,0,0,0.55,1.64,0,0,0,0,2.19
