stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,4.09,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,8.17,4.09,0,0,0,0,0,0,0,0,4.09,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,3.21,0,0,0,0,5.35,0,12.84,5.35,0,1.07,0,2.14,0,27.81,0,2.14,0,0,0
21Day,2.68,1.34,1.34,0,0,0,4.02,0,1.34,0,0,0,0,0,0,0,8.03,2.68,1.34,1.34,8.03,0,0,18.74,1.34,1.34,1.34,0,0
3Month,0,0.32,2.24,2.88,0.96,0,45.43,0.32,1.28,0.32,0.64,0,0.64,0.32,0,0.32,0.64,0.32,0.32,0.32,0,0.64,1.28,0,0,0,0.32,0.32,0.32
22Month,0.55,0.55,3.28,1.09,1.09,0.55,83.64,1.09,3.83,0,0,1.64,1.09,0,3.83,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0
