stage,Epithelial_cell,Epithelial_cell__Brain_,Hatching_gland,Hepatocyte,Intestinal_bulb_cell,Neural_cell,Neurosecretory_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,4.09,0,0,0,0,0,0
72hpf,0,0,0,0,0,1.07,0,0,0
21Day,1.34,1.34,0,0,0,0,0,0,0
3Month,0.64,0,0,0,0.64,0,0.32,0.32,2.88
22Month,1.09,0,0,3.83,0.55,0,0,0.55,0
