stage,Cardiomyocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Osteoblast,Retinal_cell
24hpf,0,4.09,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,2.14,0
21Day,1.34,1.34,0,1.34,0,1.34,0,1.34
3Month,0,2.56,0.32,0,0.32,0,0,0
