stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,4.09,0,0,0,0,0,4.09,0,0,0,0,0,0,8.17,4.09,0,0,0,0,69.47,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,1.07,2.14,0,5.35,1.07,0,0,0,0,0,0,0,0,0,1.07,6.42,1.07,4.28,0,1.07,1.07,10.7,12.84,0,0,18.19,0,1.07,2.14,2.14,1.07,0,0,0
21Day,6.69,0,0,6.69,1.34,0,0,0,0,0,0,0,0,0,0,2.68,0,24.09,0,1.34,0,4.02,2.68,0,0,5.35,1.34,0,1.34,0,0,0,0,0
3Month,0,0.64,0.32,5.12,0,0.32,0.32,1.6,0,0,11.2,1.92,0.64,2.24,0.96,3.52,2.24,2.56,0.64,0.64,0.32,0.64,0.32,1.28,0.64,0.32,0,4.8,0.32,0,0,1.6,58.55,1.28
22Month,0,0,0,1.09,0,0,0,0.55,0.55,0,13.12,0,0,1.64,0.55,0,0,2.19,0,0,0,0,0,0.55,0,0,0,0.55,0,0,0,0,0,0
