stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,57.21,0,0,0,0,0,0,0,0,0,24.52,0,12.26,32.69,0,0,0,0,241.1,0,0,4.09,0,0,0,0,4.09,0,0,0
72hpf,2.14,0,0,10.7,24.61,0,0,0,0,0,2.14,0,0,5.35,22.47,1.07,8.56,0,1.07,2.14,10.7,33.16,1.07,0,8.56,0,0,11.77,1.07,2.14,0,0,0
21Day,0,0,1.34,5.35,10.71,0,0,0,0,0,1.34,0,1.34,0,12.05,0,5.35,0,0,0,6.69,4.02,0,0,5.35,0,1.34,0,0,0,0,0,0
3Month,0,0.32,0,26.88,0.96,0.64,0.32,1.92,0.32,0,6.4,0.32,1.6,1.92,1.6,1.6,1.92,0.64,0.96,0.96,0.96,0.64,0.64,0,0,0.64,19.52,0,0,0,0.96,58.23,1.6
22Month,0,0.55,0.55,21.32,2.19,0,0,0,1.09,0.55,28.97,1.09,3.83,1.09,1.09,2.19,0,0,0,0,1.64,0,0.55,1.09,0,0,23.51,0,0,0,3.83,0.55,0
