stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,28.6,0,0,0,0,0,0,4.09,4.09,4.09,0,0,0,44.95,0,0,0,0,4.09,0,0
72hpf,1.07,0,2.14,2.14,0,0,0,0,0,11.77,11.77,0,4.28,0,3.21,4.28,0,1.07,0,0,0,0,0
21Day,1.34,0,14.72,0,1.34,4.02,0,2.68,0,5.35,25.43,1.34,2.68,1.34,4.02,0,0,0,1.34,0,0,0,1.34
3Month,0,0.32,6.4,0,0,1.28,0.64,0,0.96,0.96,1.6,0,0.96,0,0.32,0,0.32,0,0,2.56,0,1.28,0.96
22Month,0,0,0.55,0,0,6.56,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0
