stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Immune_progenitor_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell
24hpf,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0
72hpf,1.07,1.07,1.07,1.07,0,0,1.07,2.14,266.38,10.7,2.14,0,3.21,1.07
21Day,0,0,1.34,0,1.34,1.34,1.34,4.02,97.71,0,0,4.02,0,1.34
