stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,4.09,0,0,4.09,0,0,0,0,4.09,8.17,0,0,0,0,4.09,53.12,0,4.09,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,1.07,0,1.07,4.28,0,1.07,0,0,0,2.14,0,1.07,0,0
21Day,0,5.35,1.34,0,0,0,0,1.34,0,0,0,0,0,1.34,0,0,0,1.34,0,0,1.34,0,1.34,0,2.68,28.11,1.34,0,0
3Month,0,1.6,0,0,0.32,0,0,1.28,0.64,0.32,1.6,0,0,0,0.32,0,0.32,0,0,0.32,0,0.32,24.32,0,0,0,0,8.96,0.64
22Month,0,0.55,0,0,1.09,0.55,0,6.01,0,0.55,1.09,0,0,1.09,0,0,0,0,0,0.55,0,0,6.01,0.55,0,0,0,0,0
