stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0
21Day,0,0,0,0,0,0,0,0,4.02,0,0,0,0,1.34,0,0,0
3Month,0.96,0.64,0.32,0.64,4.48,0,2.88,0.64,3.84,0.64,0,0.96,0.32,0,0.32,0,3.2
22Month,0,0,0,0,44.28,0.55,10.93,0.55,4.92,0,1.64,0,0,0,1.09,0,0
