stage,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,4.09,0,0,0,0,0,0,0,0,4.09,4.09,0,0,183.89,16.35,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,1.07,2.14,0,2.14,0,0,18.19,2.14,0,0,0,0
21Day,1.34,0,0,1.34,0,0,0,0,0,1.34,5.35,0,0,2.68,0,0,0,0,0
3Month,0.64,0.64,0,1.92,0.64,0,0.32,0.32,0,0.64,0,0,0,0,0,0.32,0,0.32,0.32
22Month,1.09,0.55,0.55,8.75,0,0.55,0.55,0,0,2.19,0,0.55,0.55,0,0,0,0.55,0,0
