stage,Epithelial_cell,Erythrocyte,Immune_cell,Keratinocyte,Mesenchymal_cell,Osteoblast
24hpf,0,0,0,4.09,0,0
72hpf,0,2.14,0,2.14,0,0
21Day,6.69,0,0,0,0,0
3Month,3.52,0,0.32,0,0,0
22Month,0,0,0,0,0.55,0.55
