stage,Epithelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,4.09,0,0,0,0,4.09,4.09,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,3.21,0,0,0,1.07,8.56,0,0,0,0
21Day,10.71,0,0,0,0,1.34,1.34,0,1.34,0,1.34,12.05,0,1.34
3Month,1.92,0.32,0.32,0,0.32,0,0.32,0,0,0,0,0.96,0,0
22Month,0.55,6.56,0,1.09,0.55,0.55,0,0.55,0,0,0,0.55,0.55,0
