stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,8.17,12.26,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,4.28,0,0,0,0,0,0,0,0,0,0,0,1.07,10.7,0,2.14,0,0,0,0,3.21,0,0,0,2.14,0,0,0,0,0,0,0
21Day,9.37,0,0,32.12,0,0,0,0,0,2.68,0,0,1.34,2.68,0,0,20.08,0,4.02,0,0,1.34,0,2.68,6.69,0,0,1.34,0,0,0,0,0,0,1.34
3Month,0.96,4.8,1.28,193.89,1.28,2.24,0.32,0.64,4.48,51.19,0,28.16,23.68,13.12,10.56,5.44,119.02,17.28,40.31,8,0,2.88,17.28,0.96,0,0.32,1.28,1.6,3.2,152.62,0.32,0,3.2,760.52,88.63
22Month,0,2.19,1.09,19.68,0.55,0,0,0,1.09,67.79,0.55,13.12,8.75,30.61,1.64,1.09,21.87,24.05,43.19,1.09,1.09,0.55,0,0.55,0,1.09,1.09,0.55,0,27.88,0,1.64,0,1.09,15.85
