stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,4.09,0,0,0,0,0,0,0,12.26,0,0,0,0,20.43,122.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,6.42,2.14,4.28,5.35,0,0,0,0,0,0,0,0,2.14,11.77,6.42,4.28,0,0,2.14,554.15,100.56,1.07,3.21,0,10.7,0,0,1.07,31.02,13.91,2.14,5.35,0,0,0
21Day,0,0,9.37,5.35,0,0,4.02,0,0,1.34,0,0,0,1.34,2.68,6.69,0,0,0,124.48,29.45,0,0,0,2.68,2.68,0,0,6.69,6.69,5.35,2.68,0,0,1.34
3Month,0.32,2.56,6.4,0,0.32,1.28,28.16,0,6.72,12.8,3.52,1.92,0.64,1.6,8,1.92,0,0,0.96,10.56,2.56,8.32,6.4,0,0,0.32,0.32,23.68,1.92,0,0.32,0.64,0.96,8.32,2.56
22Month,0,0.55,2.73,0,0,0.55,51.93,1.64,14.76,21.32,2.19,1.64,0,0.55,8.75,1.64,0.55,0.55,0,2.19,0,2.19,2.19,0.55,0,0,0,8.75,6.01,4.92,0,0,0,0,1.09
