stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell
24hpf,0,0,8.17,0,0,0,0,0,0,0,12.26,8.17,0,8.17,44.95,0,0,0,0
72hpf,0,1.07,1.07,0,0,0,0,0,0,1.07,0,2.14,0,1.07,4.28,2.14,0,1.07,0
21Day,1.34,0,4.02,1.34,0,0,0,2.68,0,1.34,0,2.68,0,0,6.69,6.69,1.34,2.68,2.68
22Month,0,0,0,0,0.55,4.92,0.55,0.55,0.55,0,0,0,0.55,0,0,0,0,0,0
