stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,8.17,32.69,0,0,0,0,0,0,8.17,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,1.07,1.07,0,0,0,0,1.07,5.35,0,0,0,0,0,0,0,0,0,0
21Day,0,0,1.34,0,0,0,0,28.11,0,0,0,1.34,1.34,0,0,1.34,0,0,0,1.34,0,0,1.34,0,0,0,4.02
3Month,0.64,0.32,2.24,0.32,1.92,2.88,75.83,0,0.96,0,0.32,6.08,0.96,0.96,0.64,0,0,0.96,0,0.96,0.64,0.64,8,0,0.32,2.56,3.52
22Month,0,0,0,0,0,0.55,0.55,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,5.47,0,0,0,0
