stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,24.52,4.09,20.43,0,0,0,0,0,0,0,0,0,12.26,61.3,36.78,73.56,0,0,4.09,24.52,502.63,4.09,4.09,0,0,0,0,0,0,0,0
72hpf,2.14,3.21,2.14,1.07,1.07,0,0,0,0,0,0,0,1.07,3.21,1.07,3.21,2.14,0,0,6.42,13.91,0,1.07,0,0,0,1.07,0,0,0,0
21Day,1.34,0,4.02,0,1.34,2.68,0,1.34,1.34,0,2.68,0,0,2.68,1.34,16.06,0,1.34,0,0,20.08,0,2.68,0,0,0,1.34,0,0,0,0
3Month,0.32,0.64,1.28,0,0,0,0.32,1.6,6.72,3.84,0,0.64,0,0.32,1.28,0.96,0,0,0.96,0,0,0,0,0.96,0.64,0,0,0,1.28,0.64,0.64
22Month,0,0,3.28,0,0,0,1.64,0,9.29,0,0,4.37,0,0,1.64,0,0,0,0,0,0,0.55,0,0,0,0.55,0,0.55,0,0,0.55
