stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,12.26,4.09,0,0,0,0,0,4.09,0,0,0,0,0,0,4.09,0,0,0,12.26,65.38,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,5.35,2.14,0,0,0,0,0,0,0,1.07,0,0,1.07,3.21,3.21,0,0,0,73.82,17.12,1.07,7.49,1.07,0,0,9.63,2.14,1.07,2.14,0,0,0
21Day,1.34,0,16.06,1.34,1.34,0,1.34,0,0,0,2.68,13.39,0,0,17.4,16.06,18.74,0,1.34,0,70.94,18.74,0,5.35,2.68,1.34,0,6.69,1.34,1.34,5.35,0,0,13.39
3Month,0,1.6,9.28,0,0,0.32,0.32,4.16,0,4.48,0.64,5.12,2.24,3.2,1.28,36.79,12.48,5.12,1.28,6.72,5.12,0.64,2.24,1.28,0,0.64,11.84,2.56,0,0,1.28,0.64,33.59,21.76
22Month,0,2.19,3.83,1.64,0,0,0,4.92,0.55,8.75,2.19,9.29,1.64,0.55,0.55,43.73,14.21,1.09,0,0,6.01,0,0,0,0,0,2.73,19.68,0.55,0,1.64,0,0,9.84
