stage,Cardiomyocyte,Hepatocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Radial_glia
24hpf,0,0,0,0,0,4.09,0
72hpf,1.07,0,0,0,18.19,1.07,1.07
21Day,1.34,0,0,1.34,13.39,1.34,0
22Month,0,4.37,0.55,0,0,0,0
