stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,1.34,1.34,0,0,0,1.34,0,0,0,0,1.34,0,1.34,0,0,0,0,0,0
3Month,0.32,0.32,4.8,0,2.56,0.64,2.24,0.64,52.47,0,0.96,0,0.96,0.32,0.64,0.32,0,0.64,0.96,0.64,1.6
22Month,0,2.73,1.64,0,2.19,0,8.75,0,78.72,0,1.09,1.09,0,0,1.09,0,0.55,0,0.55,0,0.55
