stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,0,0,4.09,65.38,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,2.14,0,3.21,0,0,0,0,0,0,0,0,0,1.07,1.07,0,35.3,0,0,572.34,0,19.26,10.7,0,0,1.07,0,0,0,3.21,0,1.07,0,0,0
21Day,41.49,2.68,5.35,28.11,1.34,12.05,0,1.34,1.34,1.34,0,5.35,1.34,2.68,1.34,4.02,20.08,9.37,56.22,0,0,5073.04,0,57.56,10.71,4.02,0,13.39,81.65,0,0,2.68,37.48,2.68,0,0,8.03
3Month,0,3.84,1.28,10.56,0,0,0,0.32,2.24,2.88,0,11.2,4.16,0.32,13.44,8.96,6.08,4.48,25.6,7.68,0,138.22,1.92,0,0,0.32,0.32,0.64,0.64,0.32,31.04,0,0,0.32,1.28,65.59,2.56
22Month,0,2.19,1.09,1.09,0,0,1.09,0.55,0.55,5.47,2.19,15.85,1.09,1.09,12.57,1.09,0,1.64,8.75,2.73,0.55,203.36,0,0,0,0.55,0.55,0.55,0,0,8.75,0,0,0,0,0.55,2.73
