stage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia
24hpf,12.26,0,0,4.09,0,0
72hpf,1.07,0,1.07,1.07,4.28,1.07
21Day,1.34,1.34,2.68,0,4.02,0
