stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Retinal_cone_cell
24hpf,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,2.14,0,0,0,0,0,0,46,4.28,1.07,0,0
21Day,0,0,0,0,0,0,0,14.72,5.35,0,1.34,2.68
22Month,0,0.55,1.09,1.09,0.55,0.55,0.55,0,0,0,0,0
