stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,T_cell
24hpf,16.35,0,8.17,0,0,0,0,0,0,0,0,0,0,0,4.09,40.86,0,0,0,0,0,0,0,0
72hpf,0,0,4.28,1.07,0,0,0,0,0,2.14,0,0,1.07,0,19.26,1.07,0,0,1.07,1.07,0,0,1.07,0
21Day,0,0,4.02,0,1.34,0,0,1.34,0,1.34,1.34,0,0,0,4.02,1.34,0,0,0,2.68,0,0,0,0
3Month,0,0,3.52,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0,0.64,0,0,0,5.12,0,0,0.32
22Month,0,0.55,4.37,0,0,1.64,0.55,1.09,1.09,0,0.55,0.55,0,0,1.64,0,0.55,7.65,0,0,11.48,1.09,0,0
